"Protein.Ids","ALM6","ALM7","ALM8","ALM9","ALM10","ALM11","ALM12","ALM13","ALM14","ALM15","ALM16","ALM17","ALM18","ALM19","ALM20","ALM21","ALM22","ALM23","ALM24","ALM25","ALM26","ALM27","ALM28","ALM29","ALM30","ALM31","ALM32","ALM33","ALM34","ALM35","ALM36","ALM37","ALM38","ALM39","ALM40","ALM41","ALM42","ALM43","ALM44","ALM45","ALM46","ALM47"
"P09455","1909.61","1614.38","1763.62","1313.95","2451.88","2956.99","844.573","1346.1","2301.32","2498.01","1976.82","3068.36","2555.23","2057.33","2644.64","1429.87","5310.08","4066.47","2858.39","3315.88","2876.92","2968.72","2042.06","2369.07","3385.23","5074.9","4182.44","3764.27","1928.74","1407.55","1205.42","1255.77","999.068","2343.21","1188.18","1909.55","3303.43","1838.89","2017.88","1752.91","1424.01","2710.52"
"P09486","60406.7","31740.9","62769.9","33409.3","17243.1","47365.4","14615.1","23846.2","64156.7","21515.7","32590.4","16485.9","55238.7","41609.1","49825","43066.1","19563.9","39783.2","17005.1","40838.5","12653.8","41271.5","55930","33975.1","45816.7","51066","33826.8","21434.9","22517.2","36621.3","54730.2","51993.4","25497.3","46019.2","43802","43539.8","30524.4","43579.5","27808","30178.9","41888.5","44172.9"
"P09488","11323.7","14486.4","11134.6","5026.33","4564.85","8865.02","3282.88",NA,"1674","13651.5","1816.73","446.213","3072.56","18163.3","4177.72","4726.94","17802.9","18753.5","4000.37","8736.74","5973.61","9626.27","1515.08","2861.02","12080.6","10638.6","11515.4","14500.5","18487.2","19159.1","15541.7","13436.5","1694.03","11502.9","8084.65","3345.62","23137","12776.6","4481.12",NA,"19302.9","9129.63"
"P09493","155239","198758","175458","87482","30994","108449","28372.4","28493.4","64678.1","65826.9","27128.7","27834.8","47340.7","58276.2","61517.7","99096.8","43509.4","27068.8","13579.8","69048.2","115521","117213","59478.1","32164.1","35625.3","50546.4","57094.2","27404.1","50003","70924.2","161000","50348.5","68029.9","79949.4","88522","45641.9","71458.4","26599.5","75909.6","54383.9","79924.2","58562.5"
"P09496","26098.8","20710.6","21763.8","20758","11169.2","19359.6","12141.2","16162.7","21581.6","22155.7","12843","20204.6","21172.2","22172.7","28107.6","20165","22896.7","18400.6","11809.4","25116.8","16581.8","14416.8","20154.3","16049.3","17722.1","21179.9","14455.6","17255.4","18620.1","14045.6","16459.3","20201.6","16980.7","11596.2","29171.8","13448.4","20468.7","17504.9","14314.8","11163.1","20875.1","31381.4"
"P09497","9082.71","7169.2","11403.6","6781.41","6823.22","7374.6","12648.5","7134.03","9511.36","4890.72","7517.25","6613.87","6101.01","6858.3","8079.17","15674.3","7816.78","4800.88","7788.2","7323.63","15164.5","5533.29","6753.1","8313.32","8113.59","6592.41","5155.87","7339.29","6071.13","4991.38","5151.67","13810.8","12255","3660.81","9325.09","13132.1","7844.87","5693.67","2368.77","9953.92","7565.31","10422.7"
"P09525","45152","39660","38063.1","29166.1","23133.4","33772.5","26743","29679.2","41359.3","27317.3","21818.5","25599.7","31544.9","32255.1","34415.6","28574.4","24502.2","25369.7","26823.6","34882.7","27885.3","33542.8","40627.3","31291.1","47335.3","37387.5","31740.8","40026.9","29666.6","22964.7","32052","38129.1","31055.3","25908.4","34757.1","30783","32074.8","34137.2","23679.6","26841.5","32198.7","34535.4"
"P09543","13512.3","16923.7","16043.3","12394.5","18099.8","18389.2","9351.37","17149","14464.5","17267.5","18537.6","21802.2","23084.9","16763.1","18124.4","10330","19630.8","25196.5","14765.9","20061.6","10578.1","17819","18347.2","16106.5","15434.5","23488.6","20269.6","19315","14908.5","13817.3","16744.9","9774.65","13547.1","19586.4","14385.3","11441.3","18101.8","20623.3","18760.3","13874.9","17349.2","14058.8"
"P09601","5929.89","1564.23","6605.25","1721.91","3396.35","5904.13","1944.28",NA,"4575.14","1706.45","1697.83","2331.74","2918.21","4677.33","5895.4","4415.79","3194.55","5575.26","1389.85","7065.42","3414.19","4559.24","7542.68","2056.67","6406.94","9676.87","2220.55","1745.74","2717.7","2341.3","1417.9","9724.49","2627.13","2068.33","10852","5152.23","1387.52","5119.26","1432.18","6681.08","21476.1","8315.19"
"P09603","1830.14","1292.21","2400.82","2213.96","4630.57","2539.5","3044.49","5508.2","1970.53","1664.99","1490.19","1841.3","1003.92","1835.3","1618.82","1854.47","1190.32","471.994","2919.7","1483.69","5047.88","1132.76","1368.03","2659.57","2750.24","1548.24","1057.06","1921.18","515.858","1319.22","795.612","1695.05","5994.42","686.916","3129.51","2372.7","651.705","1341.3","823.495","1196.72","2881.37","2229.6"
