;bCT3_1db40_1;bCT3_1db40_2;bCT3_1dT40_1;bCT3_1dT40_2;bCT3_2db40_1;bCT3_2dT40_1;bCT4_dCA2_1;bCT4_dCA2_2;bCT4_dTR2_1;bCT4_dTR2_2
ENSG00000204859.13;203;417;220;255;390;266;438;385;286;252
ENSG00000162413.17;2762;5927;4785;5642;4883;4579;7227;8364;9394;8310
ENSG00000116273.6;874;1696;972;1240;1493;1091;1515;1571;1267;1188
ENSG00000041988.16;219;423;254;284;301;329;480;354;338;237
ENSG00000007923.17;685;1244;817;917;1032;857;1038;1210;927;799
ENSG00000228750.7;0;0;0;0;0;0;0;0;0;0
ENSG00000284744.1;0;0;0;0;0;0;0;0;0;0
ENSG00000237436.1;7;16;4;4;7;5;1;3;6;1
ENSG00000171735.20;498;876;593;742;776;833;1057;733;670;534
ENSG00000227950.1;0;0;0;0;0;0;0;0;0;0
ENSG00000237365.1;0;0;0;0;0;0;0;2;0;0
ENSG00000207056.1;0;0;0;0;0;0;0;0;0;0
ENSG00000237402.1;0;0;0;0;0;0;0;0;0;0
ENSG00000237728.2;0;0;0;1;0;0;0;0;0;0
ENSG00000225126.1;0;0;0;0;0;1;0;0;0;0
ENSG00000270171.1;0;0;0;0;0;0;0;0;0;0
ENSG00000270035.1;0;0;0;0;0;0;0;0;0;0
ENSG00000269978.1;0;0;0;0;0;0;0;0;0;0
ENSG00000049245.13;5444;9746;7305;8801;8367;8665;8585;8209;8854;7404
ENSG00000269925.1;8;16;7;8;21;11;10;13;10;9
ENSG00000049246.15;236;398;141;201;344;176;143;282;179;175
ENSG00000236266.1;3;0;4;3;2;0;2;0;0;0
ENSG00000049247.14;0;2;0;0;0;2;0;0;0;1
ENSG00000049249.10;3;9;0;0;2;0;1;1;2;1
ENSG00000270330.1;0;0;0;0;0;0;0;0;0;0
ENSG00000116288.13;3922;7102;5188;6179;5697;6356;7395;5583;5660;4689
ENSG00000200344.1;1;6;0;4;4;2;0;1;1;0
ENSG00000284747.1;13;26;37;35;6;24;14;42;42;41
ENSG00000284716.1;2;0;0;0;0;0;0;0;0;2
ENSG00000116285.13;2360;4425;5939;7391;3676;6969;3465;4110;6022;5652
ENSG00000238290.1;2;4;2;1;1;4;6;0;0;3
ENSG00000232848.1;0;1;0;1;2;0;0;0;0;0
ENSG00000229305.1;0;0;0;0;0;0;0;0;0;0
ENSG00000288816.1;0;0;0;0;0;0;0;0;0;0
ENSG00000227634.3;1;2;1;0;0;0;1;0;0;1
ENSG00000200975.1;0;0;0;0;0;0;0;0;0;0
ENSG00000233645.1;0;0;0;0;0;0;0;0;0;0
ENSG00000251977.1;0;0;0;0;0;0;0;0;0;0
ENSG00000162426.16;222;424;390;373;393;455;285;257;263;238
ENSG00000252254.1;1;2;0;1;1;1;0;0;0;0
ENSG00000142599.20;4163;8228;5855;7240;6665;7013;4989;6948;5879;5621
ENSG00000232912.6;6;3;2;2;2;4;2;6;7;7
ENSG00000221083.1;0;0;0;0;0;0;0;0;0;0
ENSG00000270282.1;0;0;0;0;0;0;0;0;0;0
ENSG00000234619.1;0;0;0;1;0;0;0;0;0;0
ENSG00000224315.2;0;0;0;0;0;0;0;0;0;0
ENSG00000222511.2;0;0;0;0;0;0;0;0;0;1
ENSG00000226545.1;1;0;0;0;0;0;0;0;0;0
ENSG00000228423.2;0;0;0;0;0;0;0;0;0;0
ENSG00000229716.2;0;1;0;0;0;0;0;0;0;0
ENSG00000074800.16;22529;45931;50013;59348;40462;63353;51518;42324;48659;40151
